Time,POSX,POSY,POSZ
1781376864.8418446,-0.4853,0.0502,0.0754
1781376864.8468032,-0.4853,0.0502,0.0754
1781376864.8523495,-0.4853,0.0502,0.0754
1781376864.858802,-0.4853,0.0502,0.0754
1781376864.8634934,-0.4853,0.0502,0.0754
1781376864.8697681,-0.4853,0.0502,0.0754
1781376864.8744955,-0.4853,0.0502,0.0754
1781376864.8800411,-0.4853,0.0502,0.0754
1781376864.8874211,-0.4853,0.0502,0.0754
1781376864.896861,-0.4853,0.0502,0.0754
1781376864.8973238,-0.4853,0.0502,0.0754
1781376864.9029832,-0.4853,0.0502,0.0754
1781376864.9087937,-0.4853,0.0502,0.0754
1781376864.916455,-0.4853,0.0502,0.0754
1781376864.919797,-0.4853,0.0502,0.0754
1781376864.9245627,-0.4853,0.0502,0.0754
1781376864.9303453,-0.4853,0.0502,0.0754
1781376864.935717,-0.4853,0.0502,0.0754
1781376864.941237,-0.4853,0.0502,0.0754
1781376864.9470806,-0.4853,0.0502,0.0754
1781376864.952609,-0.4853,0.0502,0.0754
1781376864.9580853,-0.4853,0.0502,0.0754
1781376864.9632092,-0.4853,0.0502,0.0754
1781376864.9692416,-0.4853,0.0502,0.0754
1781376864.9744384,-0.4853,0.0502,0.0754
1781376864.980494,-0.4853,0.0502,0.0754
1781376864.9862254,-0.4853,0.0502,0.0754
1781376864.9914103,-0.4853,0.0502,0.0754
1781376864.9967601,-0.4853,0.0502,0.0754
1781376865.0023844,-0.4853,0.0502,0.0754
1781376865.007987,-0.4853,0.0502,0.0754
1781376865.0134377,-0.4853,0.0502,0.0754
1781376865.019236,-0.4853,0.0502,0.0754
1781376865.0242455,-0.4853,0.0502,0.0754
1781376865.0299425,-0.4853,0.0502,0.0754
1781376865.0354238,-0.4853,0.0502,0.0754
1781376865.0511327,-0.4853,0.0502,0.0754
1781376865.0793877,-0.4853,0.0502,0.0754
1781376865.0798035,-0.4853,0.0502,0.0754
1781376865.0801823,-0.4853,0.0502,0.0754
1781376865.0805354,-0.4853,0.0502,0.0754
1781376865.0808744,-0.4853,0.0502,0.0754
1781376865.0811963,-0.4853,0.0502,0.0754
1781376865.0815086,-0.4853,0.0502,0.0754
1781376865.0854795,-0.4853,0.0502,0.0754
1781376865.0911245,-0.4853,0.0502,0.0754
1781376865.0964386,-0.4853,0.0502,0.0754
1781376865.1020403,-0.4853,0.0502,0.0754
1781376865.107849,-0.4853,0.0502,0.0754
1781376865.1129217,-0.4853,0.0502,0.0754
1781376865.1188042,-0.4853,0.0502,0.0754
1781376865.124117,-0.4853,0.0502,0.0754
1781376865.1299617,-0.4853,0.0502,0.0754
1781376865.1357973,-0.4853,0.0502,0.0754
1781376865.1411116,-0.4853,0.0502,0.0754
1781376865.146551,-0.4853,0.0502,0.0754
1781376865.1525233,-0.4853,0.0502,0.0754
1781376865.1575778,-0.4853,0.0502,0.0754
1781376865.1638477,-0.4853,0.0502,0.0754
1781376865.1690366,-0.4853,0.0502,0.0754
1781376865.174416,-0.4853,0.0502,0.0754
1781376865.1830134,-0.4853,0.0502,0.0754
1781376865.1891274,-0.4853,0.0502,0.0754
1781376865.1912103,-0.4853,0.0502,0.0754
1781376865.1967752,-0.4853,0.0502,0.0754
1781376865.2022493,-0.4853,0.0502,0.0754
1781376865.2094364,-0.4853,0.0502,0.0754
1781376865.2132611,-0.4853,0.0502,0.0754
1781376865.218954,-0.4853,0.0502,0.0754
1781376865.2249124,-0.4853,0.0502,0.0754
1781376865.2303205,-0.4853,0.0502,0.0754
1781376865.2358599,-0.4853,0.0502,0.0754
1781376865.2410722,-0.4853,0.0502,0.0754
1781376865.246563,-0.4853,0.0502,0.0754
1781376865.2520833,-0.4853,0.0502,0.0754
1781376865.2578466,-0.4853,0.0502,0.0754
1781376865.2634702,-0.4853,0.0502,0.0754
1781376865.2688708,-0.4853,0.0502,0.0754
1781376865.2746804,-0.4853,0.0502,0.0754
1781376865.279688,-0.4853,0.0502,0.0754
1781376865.2854156,-0.4853,0.0502,0.0754
1781376865.290881,-0.4853,0.0502,0.0754
1781376865.2964194,-0.4853,0.0502,0.0754
1781376865.302575,-0.4853,0.0502,0.0754
1781376865.3077145,-0.4853,0.0502,0.0754
1781376865.3136244,-0.4853,0.0502,0.0754
1781376865.329266,-0.4853,0.0502,0.0754
1781376865.330264,-0.4853,0.0502,0.0754
1781376865.3307881,-0.4853,0.0502,0.0754
1781376865.3364706,-0.4853,0.0502,0.0754
1781376865.3413608,-0.4853,0.0502,0.0754
1781376865.3484204,-0.4853,0.0502,0.0754
1781376865.3522556,-0.4853,0.0502,0.0754
1781376865.3575716,-0.4853,0.0502,0.0754
1781376865.3638823,-0.4853,0.0502,0.0754
1781376865.3687973,-0.4853,0.0502,0.0754
1781376865.3743777,-0.4853,0.0502,0.0754
1781376865.3798094,-0.4853,0.0502,0.0754
1781376865.385412,-0.4853,0.0502,0.0754
1781376865.390959,-0.4853,0.0502,0.0754
1781376865.3966506,-0.4853,0.0502,0.0754
1781376865.4023015,-0.4853,0.0502,0.0754
1781376865.4076898,-0.4853,0.0502,0.0754
1781376865.4132316,-0.4853,0.0502,0.0754
1781376865.419162,-0.4853,0.0502,0.0754
1781376865.4249961,-0.4853,0.0502,0.0754
1781376865.4301114,-0.4853,0.0502,0.0754
1781376865.4356093,-0.4853,0.0502,0.0754
1781376865.4409256,-0.4853,0.0502,0.0754
1781376865.4467442,-0.4853,0.0502,0.0754
1781376865.4521413,-0.4853,0.0502,0.0754
1781376865.4579172,-0.4853,0.0502,0.0754
1781376865.4640088,-0.4853,0.0502,0.0754
1781376865.5018165,-0.4853,0.0502,0.0754
1781376865.502318,-0.4853,0.0502,0.0754
1781376865.5027032,-0.4853,0.0502,0.0754
1781376865.5030692,-0.4853,0.0502,0.0754
1781376865.503425,-0.4853,0.0502,0.0754
1781376865.5037463,-0.4853,0.0502,0.0754
1781376865.5040667,-0.4853,0.0502,0.0754
1781376865.5078323,-0.4853,0.0502,0.0754
1781376865.5133855,-0.4853,0.0502,0.0754
1781376865.5189464,-0.4853,0.0502,0.0754
1781376865.5245056,-0.4853,0.0502,0.0754
1781376865.5300124,-0.4853,0.0502,0.0754
1781376865.5357366,-0.4853,0.0502,0.0754
1781376865.5408654,-0.4853,0.0502,0.0754
1781376865.546759,-0.4853,0.0502,0.0754
1781376865.5522,-0.4853,0.0502,0.0754
1781376865.5580747,-0.4853,0.0502,0.0754
1781376865.562767,-0.4853,0.0502,0.0754
1781376865.5687652,-0.4853,0.0502,0.0754
1781376865.5741677,-0.4853,0.0502,0.0754
1781376865.580305,-0.4853,0.0502,0.0754
1781376865.5854912,-0.4853,0.0502,0.0754
1781376865.590935,-0.4853,0.0502,0.0754
1781376865.5963526,-0.4853,0.0502,0.0754
1781376865.6021426,-0.4853,0.0502,0.0754
1781376865.6077166,-0.4853,0.0502,0.0754
1781376865.6238806,-0.4853,0.0502,0.0754
1781376865.6244345,-0.4853,0.0502,0.0754
1781376865.625525,-0.4853,0.0502,0.0754
1781376865.6307507,-0.4853,0.0502,0.0754
1781376865.6362405,-0.4853,0.0502,0.0754
1781376865.6427927,-0.4853,0.0502,0.0754
1781376865.6472824,-0.4853,0.0502,0.0754
1781376865.6523876,-0.4853,0.0502,0.0754
1781376865.6576216,-0.4853,0.0502,0.0754
1781376865.6627748,-0.4853,0.0502,0.0754
1781376865.6688018,-0.4853,0.0502,0.0754
1781376865.6749992,-0.4853,0.0502,0.0754
1781376865.6800346,-0.4853,0.0502,0.0754
1781376865.6855063,-0.4853,0.0502,0.0754
1781376865.690851,-0.4853,0.0502,0.0754
1781376865.69637,-0.4853,0.0502,0.0754
1781376865.702486,-0.4853,0.0502,0.0754
1781376865.7077472,-0.4853,0.0502,0.0754
1781376865.7131405,-0.4853,0.0502,0.0754
1781376865.7188077,-0.4853,0.0502,0.0754
1781376865.724159,-0.4853,0.0502,0.0754
1781376865.7298472,-0.4853,0.0502,0.0754
1781376865.7356513,-0.4853,0.0502,0.0754
1781376865.741278,-0.4853,0.0502,0.0754
1781376865.7465103,-0.4853,0.0502,0.0754
1781376865.7523065,-0.4853,0.0502,0.0754
1781376865.7576292,-0.4853,0.0502,0.0754
1781376865.7636452,-0.4853,0.0502,0.0754
1781376865.7784107,-0.4853,0.0502,0.0754
1781376865.8070185,-0.4853,0.0502,0.0754
1781376865.8074334,-0.4853,0.0502,0.0754
1781376865.8077703,-0.4853,0.0502,0.0754
1781376865.8081086,-0.4853,0.0502,0.0754
1781376865.8084326,-0.4853,0.0502,0.0754
1781376865.8087687,-0.4853,0.0502,0.0754
1781376865.8090901,-0.4853,0.0502,0.0754
1781376865.812763,-0.4853,0.0502,0.0754
1781376865.8191252,-0.4853,0.0502,0.0754
1781376865.8251252,-0.4853,0.0502,0.0754
1781376865.8299234,-0.4853,0.0502,0.0754
1781376865.8355615,-0.4853,0.0502,0.0754
1781376865.8409057,-0.4853,0.0502,0.0754
1781376865.846543,-0.4853,0.0502,0.0754
1781376865.8520727,-0.4853,0.0502,0.0754
1781376865.8580246,-0.4853,0.0502,0.0754
1781376865.86353,-0.4853,0.0502,0.0754
1781376865.8689582,-0.4853,0.0502,0.0754
1781376865.874306,-0.4853,0.0502,0.0754
1781376865.8798487,-0.4853,0.0502,0.0754
1781376865.8856642,-0.4853,0.0502,0.0754
1781376865.8911493,-0.4853,0.0502,0.0754
1781376865.896658,-0.4853,0.0502,0.0754
1781376865.9020808,-0.4853,0.0502,0.0754
1781376865.9084644,-0.4853,0.0502,0.0754
1781376865.9195244,-0.4853,0.0502,0.0754
1781376865.9199858,-0.4853,0.0502,0.0754
1781376865.9252126,-0.4853,0.0502,0.0754
1781376865.9302342,-0.4853,0.0502,0.0754
1781376865.9364693,-0.4853,0.0502,0.0754
1781376865.940764,-0.4853,0.0502,0.0754
1781376865.9467504,-0.4853,0.0502,0.0754
1781376865.9522915,-0.4853,0.0502,0.0754
1781376865.9599628,-0.4853,0.0502,0.0754
1781376865.9627585,-0.4853,0.0502,0.0754
1781376865.9687912,-0.4853,0.0502,0.0754
1781376865.9741435,-0.4853,0.0502,0.0754
1781376865.9800656,-0.4853,0.0502,0.0754
1781376865.9855456,-0.4853,0.0502,0.0754
1781376865.9911504,-0.4853,0.0502,0.0754
1781376865.9964747,-0.4853,0.0502,0.0754
1781376866.0020897,-0.4853,0.0502,0.0754
1781376866.007888,-0.4853,0.0502,0.0754
1781376866.0130908,-0.4853,0.0502,0.0754
1781376866.018854,-0.4853,0.0502,0.0754
1781376866.0241966,-0.4853,0.0502,0.0754
1781376866.0300264,-0.4853,0.0502,0.0754
1781376866.035563,-0.4853,0.0502,0.0754
1781376866.041266,-0.4853,0.0502,0.0754
1781376866.0467074,-0.4853,0.0502,0.0754
1781376866.0572278,-0.4853,0.0502,0.0754
1781376866.0579588,-0.4853,0.0502,0.0754
1781376866.0634573,-0.4853,0.0502,0.0754
1781376866.0694354,-0.4853,0.0502,0.0754
1781376866.0769532,-0.4853,0.0502,0.0754
1781376866.080067,-0.4853,0.0502,0.0754
1781376866.0895922,-0.4853,0.0502,0.0754
1781376866.0908575,-0.4853,0.0502,0.0754
1781376866.096378,-0.4853,0.0502,0.0754
1781376866.1026607,-0.4853,0.0502,0.0754
1781376866.107887,-0.4853,0.0502,0.0754
1781376866.113479,-0.4853,0.0502,0.0754
1781376866.1189284,-0.4853,0.0502,0.0754
1781376866.1243389,-0.4853,0.0502,0.0754
1781376866.1300976,-0.4853,0.0502,0.0754
1781376866.1359253,-0.4853,0.0502,0.0754
1781376866.1411424,-0.4853,0.0502,0.0754
1781376866.1463754,-0.4853,0.0502,0.0754
1781376866.1520827,-0.4853,0.0502,0.0754
1781376866.1575956,-0.4853,0.0502,0.0754
1781376866.1635237,-0.4853,0.0502,0.0754
1781376866.1689086,-0.4853,0.0502,0.0754
1781376866.1745589,-0.4853,0.0502,0.0754
1781376866.1799343,-0.4853,0.0502,0.0754
1781376866.1854463,-0.4853,0.0502,0.0754
1781376866.197781,-0.4853,0.0502,0.0754
1781376866.1988125,-0.4853,0.0502,0.0754
1781376866.2023869,-0.4853,0.0502,0.0754
1781376866.2088184,-0.4853,0.0502,0.0754
1781376866.2133875,-0.4853,0.0502,0.0754
1781376866.2194626,-0.4853,0.0502,0.0754
1781376866.2249348,-0.4853,0.0502,0.0754
1781376866.2299902,-0.4853,0.0502,0.0754
1781376866.2356057,-0.4853,0.0502,0.0754
1781376866.241107,-0.4853,0.0502,0.0754
1781376866.2466033,-0.4853,0.0502,0.0754
1781376866.252365,-0.4853,0.0502,0.0754
1781376866.2576797,-0.4853,0.0502,0.0754
1781376866.2630272,-0.4853,0.0502,0.0754
1781376866.2692583,-0.4853,0.0502,0.0754
1781376866.2747989,-0.4853,0.0502,0.0754
1781376866.2800062,-0.4853,0.0502,0.0754
1781376866.2858808,-0.4853,0.0502,0.0754
1781376866.2909963,-0.4853,0.0502,0.0754
1781376866.2964797,-0.4853,0.0502,0.0754
1781376866.3024478,-0.4853,0.0502,0.0754
1781376866.3076868,-0.4853,0.0502,0.0754
1781376866.3134332,-0.4853,0.0502,0.0754
1781376866.318991,-0.4853,0.0502,0.0754
1781376866.3242445,-0.4853,0.0502,0.0754
1781376866.3373213,-0.4853,0.0502,0.0754
1781376866.3381364,-0.4853,0.0502,0.0754
1781376866.3411314,-0.4853,0.0502,0.0754
1781376866.3483171,-0.4853,0.0502,0.0754
1781376866.3520482,-0.4853,0.0502,0.0754
1781376866.3581884,-0.4853,0.0502,0.0754
1781376866.363749,-0.4853,0.0502,0.0754
1781376866.3690956,-0.4853,0.0502,0.0754
1781376866.3743892,-0.4853,0.0502,0.0754
1781376866.3798091,-0.4853,0.0502,0.0754
1781376866.3855164,-0.4853,0.0502,0.0754
1781376866.3909183,-0.4853,0.0502,0.0754
1781376866.3967903,-0.4853,0.0502,0.0754
1781376866.4025004,-0.4853,0.0502,0.0754
1781376866.4079475,-0.4853,0.0502,0.0754
1781376866.41358,-0.4853,0.0502,0.0754
1781376866.4188547,-0.4853,0.0502,0.0754
1781376866.4245808,-0.4853,0.0502,0.0754
1781376866.4300091,-0.4853,0.0502,0.0754
1781376866.4357796,-0.4853,0.0502,0.0754
1781376866.4409175,-0.4853,0.0502,0.0754
1781376866.4464786,-0.4853,0.0501,0.0754
1781376866.4519916,-0.4853,0.0502,0.0754
1781376866.4580564,-0.4853,0.0502,0.0754
1781376866.4634035,-0.4853,0.0502,0.0754
1781376866.4723845,-0.4853,0.0502,0.0754
1781376866.4783154,-0.4853,0.0502,0.0754
1781376866.4799483,-0.4853,0.0502,0.0754
1781376866.4858212,-0.4853,0.0502,0.0754
1781376866.4914536,-0.4853,0.0502,0.0754
1781376866.5085337,-0.4853,0.0502,0.0754
1781376866.508993,-0.4853,0.0502,0.0754
1781376866.509369,-0.4853,0.0502,0.0754
1781376866.5128927,-0.4853,0.0502,0.0754
1781376866.5190341,-0.4853,0.0502,0.0754
1781376866.524565,-0.4853,0.0502,0.0754
1781376866.5299332,-0.4853,0.0501,0.0754
1781376866.5355387,-0.4853,0.0502,0.0754
1781376866.5408497,-0.4853,0.0502,0.0754
1781376866.5468695,-0.4853,0.0502,0.0754
1781376866.5522425,-0.4853,0.0502,0.0754
1781376866.5578663,-0.4853,0.0502,0.0753
1781376866.5632513,-0.4854,0.0501,0.0753
1781376866.5691683,-0.4853,0.0502,0.0754
1781376866.5741658,-0.4853,0.0502,0.0753
1781376866.5806713,-0.4853,0.0501,0.0753
1781376866.586074,-0.4853,0.0501,0.0753
1781376866.591216,-0.4853,0.0502,0.0753
1781376866.596413,-0.4853,0.0502,0.0754
1781376866.602076,-0.4853,0.0502,0.0754
1781376866.613913,-0.4853,0.0502,0.0754
1781376866.6185808,-0.4854,0.0501,0.0753
1781376866.619168,-0.4853,0.0501,0.0753
1781376866.6248634,-0.4853,0.0502,0.0753
1781376866.6300793,-0.4853,0.0502,0.0754
1781376866.6360064,-0.4852,0.0502,0.0754
1781376866.6414373,-0.4853,0.0502,0.0754
1781376866.6466775,-0.4853,0.0502,0.0754
1781376866.652401,-0.4853,0.0502,0.0754
1781376866.6575158,-0.4853,0.0502,0.0754
1781376866.663397,-0.4853,0.0502,0.0754
1781376866.668584,-0.4853,0.0502,0.0754
1781376866.674517,-0.4852,0.0502,0.0754
1781376866.680085,-0.4852,0.0502,0.0754
1781376866.6856275,-0.4853,0.0502,0.0754
1781376866.6910267,-0.4853,0.0502,0.0754
1781376866.6962924,-0.4853,0.0502,0.0754
1781376866.702316,-0.4853,0.0502,0.0754
1781376866.7077444,-0.4853,0.0502,0.0754
1781376866.713635,-0.4853,0.0502,0.0754
1781376866.718772,-0.4853,0.0502,0.0754
1781376866.7241094,-0.4853,0.0502,0.0754
1781376866.7296803,-0.4853,0.0502,0.0754
1781376866.735574,-0.4853,0.0502,0.0754
1781376866.7411735,-0.4853,0.0502,0.0754
1781376866.7489786,-0.4853,0.0502,0.0754
1781376866.7582889,-0.4853,0.0502,0.0754
1781376866.7588172,-0.4853,0.0502,0.0754
1781376866.7645671,-0.4853,0.0502,0.0754
1781376866.7698526,-0.4853,0.0502,0.0754
1781376866.7770085,-0.4853,0.0502,0.0754
1781376866.7804577,-0.4853,0.0502,0.0754
1781376866.7856824,-0.4853,0.0502,0.0754
1781376866.7910922,-0.4853,0.0502,0.0754
1781376866.7969964,-0.4853,0.0502,0.0754
1781376866.8021312,-0.4853,0.0502,0.0754
1781376866.8077455,-0.4853,0.0502,0.0754
1781376866.8133686,-0.4853,0.0502,0.0754
1781376866.818645,-0.4853,0.0502,0.0754
1781376866.8244138,-0.4853,0.0502,0.0754
1781376866.830026,-0.4853,0.0502,0.0754
1781376866.8355691,-0.4853,0.0502,0.0754
1781376866.8407428,-0.4853,0.0502,0.0754
1781376866.8463058,-0.4853,0.0502,0.0754
1781376866.8517928,-0.4853,0.0502,0.0754
1781376866.8579917,-0.4853,0.0502,0.0754
1781376866.8629467,-0.4853,0.0502,0.0754
1781376866.868905,-0.4853,0.0502,0.0754
1781376866.8742218,-0.4853,0.0502,0.0754
1781376866.8799033,-0.4853,0.0502,0.0754
1781376866.8855052,-0.4853,0.0502,0.0754
1781376866.891214,-0.4853,0.0502,0.0754
1781376866.897305,-0.4853,0.0502,0.0754
1781376866.9020293,-0.4853,0.0502,0.0754
1781376866.9137082,-0.4853,0.0502,0.0754
1781376866.945465,-0.4853,0.0502,0.0754
1781376866.9460175,-0.4853,0.0502,0.0754
1781376866.9464178,-0.4853,0.0502,0.0754
1781376866.9467845,-0.4853,0.0502,0.0754
1781376866.9471376,-0.4853,0.0502,0.0754
1781376866.94748,-0.4853,0.0502,0.0754
1781376866.9478195,-0.4853,0.0502,0.0754
1781376866.9524984,-0.4853,0.0502,0.0754
1781376866.9577599,-0.4853,0.0502,0.0754
1781376866.9636219,-0.4853,0.0502,0.0754
1781376866.9690065,-0.4853,0.0502,0.0754
1781376866.974519,-0.4853,0.0502,0.0754
1781376866.97985,-0.4853,0.0502,0.0754
1781376866.985788,-0.4853,0.0502,0.0754
1781376866.9909885,-0.4853,0.0502,0.0754
1781376866.997178,-0.4853,0.0502,0.0754
1781376867.002199,-0.4853,0.0502,0.0754
1781376867.007682,-0.4853,0.0502,0.0754
1781376867.0130801,-0.4853,0.0502,0.0754
1781376867.0188408,-0.4853,0.0502,0.0754
1781376867.0244012,-0.4853,0.0502,0.0754
1781376867.0305595,-0.4853,0.0502,0.0754
1781376867.0355678,-0.4853,0.0502,0.0754
1781376867.0409286,-0.4853,0.0502,0.0754
1781376867.0464008,-0.4853,0.0502,0.0754
1781376867.0523484,-0.4853,0.0502,0.0754
1781376867.0648205,-0.4853,0.0502,0.0754
1781376867.070119,-0.4853,0.0502,0.0754
1781376867.0705884,-0.4853,0.0502,0.0754
1781376867.0747647,-0.4853,0.0502,0.0754
1781376867.0798209,-0.4853,0.0502,0.0754
1781376867.085909,-0.4853,0.0502,0.0754
1781376867.092234,-0.4853,0.0502,0.0754
1781376867.0966926,-0.4853,0.0502,0.0754
1781376867.1020474,-0.4853,0.0502,0.0754
1781376867.107905,-0.4853,0.0502,0.0754
1781376867.113157,-0.4853,0.0502,0.0754
1781376867.11902,-0.4853,0.0502,0.0754
1781376867.1246667,-0.4853,0.0502,0.0754
1781376867.1301038,-0.4853,0.0502,0.0754
1781376867.1355255,-0.4853,0.0502,0.0754
1781376867.1409502,-0.4853,0.0502,0.0754
1781376867.1464093,-0.4853,0.0502,0.0754
1781376867.1522803,-0.4853,0.0502,0.0754
1781376867.1578732,-0.4853,0.0502,0.0754
1781376867.1632953,-0.4853,0.0502,0.0754
1781376867.1689687,-0.4853,0.0502,0.0754
1781376867.1743298,-0.4853,0.0502,0.0754
1781376867.180533,-0.4853,0.0502,0.0754
1781376867.185714,-0.4853,0.0502,0.0754
1781376867.1911101,-0.4853,0.0502,0.0754
1781376867.196469,-0.4853,0.0502,0.0754
1781376867.2021184,-0.4853,0.0502,0.0754
1781376867.2074757,-0.4853,0.0502,0.0754
1781376867.216205,-0.4853,0.0502,0.0754
1781376867.262639,-0.4853,0.0502,0.0754
1781376867.2633388,-0.4853,0.0502,0.0754
1781376867.2641633,-0.4853,0.0502,0.0754
1781376867.2646718,-0.4853,0.0502,0.0754
1781376867.2650845,-0.4853,0.0502,0.0754
1781376867.2654614,-0.4853,0.0502,0.0754
1781376867.2658286,-0.4853,0.0502,0.0754
1781376867.266189,-0.4853,0.0502,0.0754
1781376867.2665398,-0.4853,0.0502,0.0754
1781376867.268777,-0.4853,0.0502,0.0754
1781376867.2748084,-0.4853,0.0502,0.0754
1781376867.280296,-0.4853,0.0502,0.0754
1781376867.2855928,-0.4853,0.0502,0.0754
1781376867.2908566,-0.4853,0.0502,0.0754
1781376867.29649,-0.4853,0.0502,0.0754
1781376867.3020403,-0.4853,0.0502,0.0754
1781376867.3078945,-0.4853,0.0502,0.0754
1781376867.3133166,-0.4853,0.0502,0.0754
1781376867.3199744,-0.4853,0.0502,0.0754
1781376867.324298,-0.4853,0.0502,0.0754
1781376867.3296945,-0.4853,0.0502,0.0754
1781376867.3359358,-0.4853,0.0502,0.0754
1781376867.3412952,-0.4853,0.0502,0.0754
1781376867.3471594,-0.4853,0.0502,0.0754
1781376867.352083,-0.4853,0.0502,0.0754
1781376867.3578143,-0.4852,0.0502,0.0754
1781376867.3631527,-0.4852,0.0503,0.0754
1781376867.3689246,-0.4852,0.0502,0.0754
1781376867.3811486,-0.4852,0.0502,0.0754
1781376867.3818486,-0.4853,0.0502,0.0754
1781376867.387611,-0.4853,0.0502,0.0754
1781376867.3915017,-0.4853,0.0502,0.0754
1781376867.3972669,-0.4853,0.0502,0.0754
1781376867.4034708,-0.4853,0.0502,0.0754
1781376867.4079955,-0.4853,0.0502,0.0754
1781376867.4132907,-0.4853,0.0502,0.0754
1781376867.4190848,-0.4853,0.0502,0.0754
1781376867.424333,-0.4852,0.0502,0.0754
1781376867.4301913,-0.4852,0.0502,0.0754
1781376867.4359288,-0.4853,0.0502,0.0754
1781376867.4411032,-0.4853,0.0502,0.0754
1781376867.4465787,-0.4853,0.0502,0.0754
1781376867.4523966,-0.4853,0.0502,0.0754
1781376867.4579628,-0.4853,0.0502,0.0754
1781376867.4631162,-0.4852,0.0502,0.0754
1781376867.4689982,-0.4852,0.0502,0.0754
1781376867.474485,-0.4852,0.0502,0.0754
1781376867.479779,-0.4852,0.0502,0.0754
1781376867.4854152,-0.4853,0.0502,0.0754
1781376867.4915926,-0.4853,0.0502,0.0754
1781376867.4967809,-0.4853,0.0502,0.0754
1781376867.5022671,-0.4853,0.0502,0.0754
1781376867.5075197,-0.4853,0.0502,0.0754
1781376867.5130572,-0.4853,0.0502,0.0754
1781376867.5191126,-0.4852,0.0502,0.0754
1781376867.524637,-0.4852,0.0502,0.0754
1781376867.5371053,-0.4852,0.0502,0.0754
1781376867.5666702,-0.4853,0.0502,0.0754
1781376867.5671103,-0.4853,0.0502,0.0754
1781376867.5674698,-0.4853,0.0502,0.0754
1781376867.567813,-0.4854,0.0502,0.0754
1781376867.5681562,-0.4853,0.0502,0.0754
1781376867.5685108,-0.4853,0.0502,0.0754
1781376867.5699403,-0.4853,0.0502,0.0754
1781376867.5746806,-0.4853,0.0502,0.0754
1781376867.5799978,-0.4852,0.0502,0.0754
1781376867.5856087,-0.4853,0.0502,0.0754
1781376867.590856,-0.4853,0.0502,0.0754
1781376867.5971723,-0.4853,0.0502,0.0754
1781376867.6023223,-0.4853,0.0502,0.0754
1781376867.6078,-0.4853,0.0502,0.0753
1781376867.6132562,-0.4853,0.0502,0.0754
1781376867.6188574,-0.4853,0.0502,0.0754
1781376867.6241825,-0.4853,0.0502,0.0753
1781376867.6300356,-0.4853,0.0502,0.0753
1781376867.635535,-0.4853,0.0502,0.0753
1781376867.6409757,-0.4853,0.0502,0.0754
1781376867.6464357,-0.4853,0.0502,0.0753
1781376867.6524725,-0.4853,0.0502,0.0753
1781376867.657855,-0.4853,0.0502,0.0753
1781376867.663079,-0.4853,0.0502,0.0753
1781376867.6761374,-0.4853,0.0502,0.0753
1781376867.676803,-0.4853,0.0502,0.0753
1781376867.6799774,-0.4853,0.0502,0.0754
1781376867.6857426,-0.4853,0.0502,0.0753
1781376867.6915832,-0.4853,0.0502,0.0753
1781376867.6970148,-0.4853,0.0502,0.0753
1781376867.7024076,-0.4853,0.0502,0.0753
1781376867.7077816,-0.4853,0.0502,0.0753
1781376867.7134135,-0.4853,0.0502,0.0753
1781376867.719331,-0.4853,0.0502,0.0753
1781376867.72479,-0.4853,0.0502,0.0753
1781376867.730101,-0.4853,0.0502,0.0753
1781376867.7357814,-0.4853,0.0502,0.0753
1781376867.7409756,-0.4853,0.0502,0.0753
1781376867.7470608,-0.4853,0.0502,0.0753
1781376867.7524157,-0.4853,0.0502,0.0753
1781376867.7578614,-0.4853,0.0502,0.0753
1781376867.7633917,-0.4853,0.0502,0.0753
1781376867.7692642,-0.4853,0.0502,0.0753
1781376867.7743716,-0.4853,0.0502,0.0753
1781376867.780284,-0.4853,0.0502,0.0753
1781376867.785682,-0.4853,0.0502,0.0753
1781376867.791289,-0.4853,0.0502,0.0753
1781376867.796565,-0.4853,0.0502,0.0753
1781376867.8033564,-0.4853,0.0502,0.0753
1781376867.8180864,-0.4854,0.0502,0.0753
1781376867.8220394,-0.4853,0.0502,0.0753
1781376867.8228652,-0.4853,0.0502,0.0753
1781376867.825,-0.4853,0.0502,0.0753
1781376867.831144,-0.4853,0.0502,0.0753
1781376867.8359036,-0.4853,0.0502,0.0753
1781376867.8416815,-0.4853,0.0502,0.0753
1781376867.8595803,-0.4853,0.0502,0.0753
1781376867.8607795,-0.4853,0.0502,0.0753
1781376867.86134,-0.4853,0.0502,0.0753
1781376867.8635426,-0.4853,0.0502,0.0753
1781376867.8688712,-0.4853,0.0502,0.0753
1781376867.8749104,-0.4853,0.0502,0.0753
1781376867.8801932,-0.4853,0.0502,0.0753
1781376867.885722,-0.4853,0.0502,0.0753
1781376867.890997,-0.4853,0.0502,0.0754
1781376867.8976994,-0.4853,0.0502,0.0753
1781376867.9021354,-0.4853,0.0502,0.0754
1781376867.9079049,-0.4854,0.0502,0.0753
1781376867.9134533,-0.4854,0.0502,0.0753
1781376867.9190862,-0.4853,0.0502,0.0753
1781376867.924205,-0.4853,0.0502,0.0754
1781376867.929789,-0.4853,0.0502,0.0754
1781376867.935663,-0.4853,0.0502,0.0754
1781376867.9411576,-0.4854,0.0502,0.0753
1781376867.9465616,-0.4853,0.0502,0.0753
1781376867.9523306,-0.4853,0.0502,0.0753
1781376867.9576344,-0.4853,0.0502,0.0754
1781376867.9647362,-0.4853,0.0502,0.0753
1781376867.9787424,-0.4853,0.0502,0.0754
